"index","label","category","file","status","reserved_path"
"1","Tea Cup","items","icon_tea_cup.png","reserved",""
"2","Moss Stone","items","icon_moss_stone.png","reserved",""
"3","Bamboo Scroll","items","icon_bamboo_scroll.png","active",""
"4","Rice Bowl","items","icon_rice_bowl.png","reserved",""
"5","Pebble","items","icon_pebble.png","reserved",""
"6","Jade Amulet","items","icon_jade_amulet.png","reserved",""
"7","Wind Bell","items","icon_wind_bell.png","reserved",""
"8","Garden Lantern","items","icon_garden_lantern.png","active",""
"9","Water Basin","items","icon_water_basin.png","reserved",""
"10","Golden Koi","items","icon_golden_koi.png","active",""
"11","Sacred Bell","items","icon_sacred_bell.png","reserved",""
"12","Temple Seal","items","icon_temple_seal.png","active",""
"13","Sun Medallion","items","icon_sun_medallion.png","reserved",""
"14","Enlightenment Tree","legendary","icon_enlightenment_tree.png","reserved","Assets/_ReservedArt/legendary/icon_enlightenment_tree.png"
"15","Spirit Dragon Coin","legendary","icon_spirit_dragon_coin.png","reserved","Assets/_ReservedArt/legendary/icon_spirit_dragon_coin.png"
"16","Broken Mask","cursed","icon_broken_mask.png","active",""
"17","Withered Flower","cursed","icon_withered_flower.png","active",""
"18","Blood Ink Brush","cursed","icon_blood_ink_brush.png","active",""
"19","Fog Stone","cursed","icon_fog_stone.png","active",""
"20","Number Freak","class","icon_number_freak.png","active",""
"21","Garden Monk","class","icon_garden_monk.png","active",""
"22","Shrine Archivist","class","icon_shrine_archivist.png","active",""
"23","Koi Gambler","class","icon_koi_gambler.png","active",""
"24","Stone Gardener","class","icon_stone_gardener.png","active",""
"25","Lantern Seer","class","icon_lantern_seer.png","active",""
"26","Reed Duelist","class","icon_reed_duelist.png","active",""
"27","Quiet Cartographer","class","icon_quiet_cartographer.png","active",""
"28","Elite Mask","node","icon_elite_mask.png","active",""
"29","Market Stall","node","icon_market_stall.png","active",""
"30","Campfire Stones","node","icon_campfire_stones.png","active",""
"31","Relic Pedestal","node","icon_relic_pedestal.png","active",""
"32","Moss Trap","node","icon_moss_trap.png","active",""
"33","Engraved Stone","node","icon_engraved_stone.png","active",""
"34","Demon Mask","node","icon_demon_mask.png","active",""
"35","Sakura Coin","economy","icon_sakura_coin.png","active",""
"36","Petal Orb","ui","icon_petal_orb.png","active",""
"37","Flame Stone","ui","icon_flame_stone.png","reserved",""
"38","Cracked Tile","cursed","icon_cracked_tile.png","active",""
"39","Flow Ribbon","ui","icon_flow_ribbon.png","active",""
"40","Golden Bloom","ui","icon_golden_bloom.png","active",""
"41","Torii Lock","ui","icon_torii_lock.png","active",""
"42","Scroll Stamp","ui","icon_scroll_stamp.png","active",""
"43","Ink Save","ui","icon_ink_save.png","active",""
"44","Stone Gear","ui","icon_stone_gear.png","active",""
"45","Language Scroll","ui","icon_language_scroll.png","active",""
"46","Temple Bell","ui","icon_temple_bell.png","reserved",""
"47","Framed Garden","ui","icon_framed_garden.png","reserved",""
"48","Fog Cloud","modifier","icon_fog_cloud.png","active",""
"49","Arrow Sum","modifier","icon_arrow_sum.png","active",""
"50","Parity Line","modifier","icon_parity_line.png","active",""
"51","Renban Chain","modifier","icon_renban_chain.png","active",""
"52","Killer Cage","modifier","icon_killer_cage.png","active",""
"53","White Dot","modifier","icon_white_dot.png","active",""
"54","Black Dot","modifier","icon_black_dot.png","active",""
"55","Tricolor Regions","modifier","icon_tricolor_regions.png","active",""
"56","Spin Coin","economy","icon_spin_coin.png","active",""
"57","Empty Slot","economy","icon_empty_slot.png","active",""
"58","Iron Latch","economy","icon_iron_latch.png","active",""
"59","Swap Arrows","economy","icon_swap_arrows.png","active",""
"60","Golden Bonsai","economy","icon_golden_bonsai.png","active",""
"61","Melting Relic","economy","icon_melting_relic.png","active",""
"62","Shattered Mask","economy","icon_shattered_mask.png","active",""
"63","Bud","meta","icon_bud.png","active",""
"64","Full Sakura","meta","icon_full_sakura.png","active",""
"65","Golden Sakura","meta","icon_golden_sakura.png","active",""
"66","Halo Bloom","meta","icon_halo_bloom.png","active",""
"67","Stacked Flame","meta","icon_stacked_flame.png","active",""
"68","Infinity Stone","meta","icon_infinity_stone.png","active",""
"69","Petal Hourglass","meta","icon_petal_hourglass.png","active",""
"70","Scroll Graph","meta","icon_scroll_graph.png","active",""
"71","Corrupted Path","meta","icon_corrupted_path.png","active",""
"72","Dual Mask","meta","icon_dual_mask.png","active",""
"73","Golden Kintsugi Jar","items","icon_golden_kintsugi_jar.png","active",""
"74","Golden Root","legendary","icon_golden_root.png","active",""
"75","Ink Well","items","icon_ink_well.png","active",""
"76","Jade Hairpin","relic","icon_jade_hairpin.png","active",""
"77","Koi Dragon Scale","items","icon_koi_dragon_scale.png","active",""
"78","Koi Reflection","items","icon_koi_reflection.png","active",""
"79","Koi Reflection Relic","relic","icon_koi_reflection_relic.png","active",""
"80","Lantern of Clarity","items","icon_lantern_of_clarity.png","active",""
"81","Meditation Stone","items","icon_meditation_stone.png","active",""
"82","Monk Charm","relic","icon_monk_charm.png","active",""
"83","Moonstone Compass","relic","icon_moonstone_compass.png","active",""
"84","Moss Token","relic","icon_moss_token.png","active",""
"85","Nonconsecutive","modifier","icon_nonconsecutive.png","active",""
"86","Offering Bowl","items","icon_offering_bowl.png","active",""
"87","Palindrome Line","modifier","icon_palindrome_line.png","active",""
"88","Paper Crane","relic","icon_paper_crane.png","active",""
"89","Pattern Scroll","items","icon_pattern_scroll.png","active",""
"90","Phoenix Feather","relic","icon_phoenix_feather.png","active",""
"91","Porcelain Mask","relic","icon_porcelain_mask.png","active",""
"92","Pruning Shears","items","icon_pruning_shears.png","active",""
"93","Rice Paper Umbrella","items","icon_rice_paper_umbrella.png","active",""
"94","Sakura Seal","relic","icon_sakura_seal.png","active",""
"95","Shifting Garden","legendary","icon_shifting_garden.png","active",""
